Систематски список на општини и населени места во Република Македонија,,,,,
според Законот за територијална организација на локалната самоуправа (Службен весник на Република Македонија бр. 55/04 и 12/05),,,,,
,,,,Состојба на податоците: 01.01.2009,
1970,Радовиш,412511,Погулево,с,
1970,Радовиш,412520,Подареш,с,
1970,Радовиш,412538,Покрајчево,с,
1970,Радовиш,412546,Прналија,с,
1970,Радовиш,412554,Радовиш,г,
1970,Радовиш,412589,Раклиш,с,
1970,Радовиш,412597,Сариѓол,с,
1970,Радовиш,412627,Смиланци,с,
1970,Радовиш,412635,Сулдурци,с,
1970,Радовиш,412643,Супурге,с,
1970,Радовиш,412651,Тополница,с,
1970,Радовиш,412449,Ќоселија,с,
1970,Радовиш,412660,Худаверлија,с,
1970,Радовиш,412678,Чешме Маале,с,
1970,Радовиш,412686,Шаинташ,с,
1970,Радовиш,412694,Шипковица,с,
1970,Радовиш,412708,Штурово,с,
1988,Ранковце,407534,Баратлија,с,
1988,Ранковце,407593,Ветуница,с,
1988,Ранковце,407607,Вржогрнци,с,
1988,Ранковце,407623,Герман,с,
1988,Ранковце,407631,Гиновци,с,
1988,Ранковце,407666,Гулинци,с,
1988,Ранковце,407801,Криви Камен,с,
1988,Ранковце,407852,Љубинци,с,
1988,Ранковце,407909,Милутинце,с,
1988,Ранковце,407941,Одрено,с,
1988,Ранковце,407950,Опила,с,
1988,Ранковце,407976,Отошница,с,
1988,Ранковце,407984,П’клиште,с,
1988,Ранковце,407992,Петралица,с,
1988,Ранковце,408018,Псача,с,
1988,Ранковце,408026,Радибуш,с,
1988,Ранковце,408034,Ранковце,с,
1988,Ранковце,408069,Станча,с,
1996,Ресен,412716,Арвати,с,
1996,Ресен,412724,Асамати,с,
1996,Ресен,412732,Болно,с,
1996,Ресен,412759,Брајчино,с,
1996,Ресен,412767,Волкодери,с,
1996,Ресен,412775,Горна Бела Црква,с,
1996,Ресен,412783,Горно Дупени,с,
1996,Ресен,412791,Горно Крушје,с,
1996,Ресен,412805,Грнчари,с,
1996,Ресен,412813,Долна Бела Црква,с,
1996,Ресен,412821,Долно Дупени,с,
1996,Ресен,412830,Долно Перово,с,
1996,Ресен,412848,Дрмени,с,
1996,Ресен,412856,Евла,с,
1996,Ресен,412864,Езерани,с,
1996,Ресен,412872,Златари,с,
1996,Ресен,412899,Избишта,с,
1996,Ресен,412902,Илино,с,
1996,Ресен,412929,Јанковец,с,
1996,Ресен,412937,Козјак,с,
1996,Ресен,412945,Коњско,с,
1996,Ресен,412953,Крани,с,
1996,Ресен,412961,Кривени,с,
1996,Ресен,412970,Курбиново,с,
1996,Ресен,412988,Лавци,с,
1996,Ресен,412996,Лева Река,с,
1996,Ресен,413003,Лескоец,с,
1996,Ресен,413011,Љубојно,с,
1996,Ресен,413020,Наколец,с,
1996,Ресен,413038,Отешево,с,
1996,Ресен,413046,Петрино,с,
1996,Ресен,413054,Подмочани,с,
1996,Ресен,413062,Покрвеник,с,
1996,Ресен,413089,Прељубје,с,
1996,Ресен,413097,Претор,с,
1996,Ресен,413119,Рајца,с,
1996,Ресен,413127,Ресен,г,
1996,Ресен,413135,Сливница,с,
1996,Ресен,413143,Сопотско,с,
1996,Ресен,413151,Стење,с,
1996,Ресен,413160,Стипона,с,
1996,Ресен,413178,Царев Двор,с,
1996,Ресен,413186,Штрбово,с,
1996,Ресен,413194,Шурленци,с,
2003,Росоман,405396,Дебриште,с,
2003,Росоман,405477,Камен Дол,с,
2003,Росоман,405531,Крушевица,с,
2003,Росоман,405566,Манастирец,с,
2003,Росоман,405604,Мрзен Ораовец,с,
2003,Росоман,405612,Паликура,с,
2003,Росоман,405680,Рибарци,с,
2003,Росоман,405701,Росоман,с,
2003,Росоман,405710,Сирково,с,
2003,Росоман,405744,Трстеник,с,
2046,Свети Николе,413208,Алакинце,с,
2046,Свети Николе,413216,Амзабегово,с,
2046,Свети Николе,413224,Арбасанци,с,
2046,Свети Николе,413275,Богословец,с,
2046,Свети Николе,413283,Буриловци,с,
2046,Свети Николе,413291,Горно Ѓуѓанце,с,
2046,Свети Николе,413305,Горно Црнилиште,с,
2046,Свети Николе,413313,Горобинци,с,
2046,Свети Николе,413321,Делисинци,с,
2046,Свети Николе,413330,Долно Ѓуѓанце,с,
2046,Свети Николе,413348,Долно Црнилиште,с,
2046,Свети Николе,413372,Ерџелија,с,
2046,Свети Николе,413399,Кадрифаково,с,
2046,Свети Николе,413437,Кнежје,с,
2046,Свети Николе,413453,Крушица,с,
2046,Свети Николе,413470,Макреш,с,
2046,Свети Николе,413488,Малино,с,
2046,Свети Николе,413666,Мездра,с,
2046,Свети Николе,413496,Мечкуевци,с,
2046,Свети Николе,413518,Мустафино,с,
2046,Свети Николе,413526,Немањица,с,
2046,Свети Николе,413542,Орел,с,
2046,Свети Николе,413569,Павлешенци,с,
2046,Свети Николе,413577,Патетино,с,
2046,Свети Николе,413585,Пеширово,с,
2046,Свети Николе,413593,Преод,с,
2046,Свети Николе,413607,Ранчинци,с,
2046,Свети Николе,413623,Свети Николе,г,
2046,Свети Николе,413631,Сопот,с,
2046,Свети Николе,413640,Стануловци,с,
2046,Свети Николе,413658,Стањевци,с,
2046,Свети Николе,413674,Строиманци,с,
2046,Свети Николе,413682,Трстеник,с,
2054,Сопиште,414395,Барово,с,
2054,Сопиште,414433,Говрлево,с,
2054,Сопиште,414450,Горно Соње,с,
2054,Сопиште,414492,Добри Дол,с,
2054,Сопиште,414522,Долно Соње,с,
2054,Сопиште,414557,Држилово,с,
2054,Сопиште,414581,Јаболци,с,
2054,Сопиште,414638,Нова Брезница,с,
2054,Сопиште,414727,Патишка Река,с,
2054,Сопиште,414735,Ракотинци,с,
2054,Сопиште,414751,Света Петка,с,
2054,Сопиште,414778,Сопиште,с,
2054,Сопиште,414891,Чифлик,с,
2127,Старо Нагоричане,408395,Алгуња,с,
2127,Старо Нагоричане,408409,Аљинце,с,
2127,Старо Нагоричане,408417,Арбанашко,с,
2127,Старо Нагоричане,408425,Бајловце,с,
2127,Старо Нагоричане,408476,Брешко,с,
2127,Старо Нагоричане,408492,Буковљане,с,
2127,Старо Нагоричане,408557,Војник,с,
2127,Старо Нагоричане,408565,Враготурце,с,
2127,Старо Нагоричане,408573,Врачевце,с,
2127,Старо Нагоричане,408646,Дејловце,с,
2127,Старо Нагоричане,408654,Длабочица,с,
2127,Старо Нагоричане,408662,Добрача,с,
2127,Старо Нагоричане,408727,Драгоманце,с,
2127,Старо Нагоричане,408735,Дренок,с,
2127,Старо Нагоричане,408751,Жегљане,с,
2127,Старо Нагоричане,408760,Жељувино,с,
2127,Старо Нагоричане,408832,Канарево,с,
2127,Старо Нагоричане,408867,Карловце,с,
2127,Старо Нагоричане,408891,Коинце,с,
2127,Старо Нагоричане,408905,Кокино,с,
2127,Старо Нагоричане,409022,М’гленце,с,
2127,Старо Нагоричане,409049,Макреш,с,
2127,Старо Нагоричане,409057,Малотино,с,
2127,Старо Нагоричане,409073,Младо Нагоричане,с,
2127,Старо Нагоричане,409090,Никуљане,с,
2127,Старо Нагоричане,409138,Облавце,с,
2127,Старо Нагоричане,409154,Орах,с,
2127,Старо Нагоричане,409197,Осиче,с,
2127,Старо Нагоричане,409235,Пелинце,с,
2127,Старо Нагоричане,409251,Пузајка,с,
2127,Старо Нагоричане,409286,Рамно,с,
2127,Старо Нагоричане,409332,Руѓинце,с,
2127,Старо Нагоричане,409391,Старо Нагоричане,с,
2127,Старо Нагоричане,409405,Степанце,с,
2127,Старо Нагоричане,409421,Стрезовце,с,
2127,Старо Нагоричане,409448,Стрновац,с,
2127,Старо Нагоричане,409529,Цветишница,с,
2127,Старо Нагоричане,409537,Цвиланце,с,
2127,Старо Нагоричане,409545,Челопек,с,
2135,Струга,415073,Безово,с,
2135,Струга,415081,Биџево,с,
2135,Струга,415090,Богојци,с,
2135,Струга,415103,Бороец,с,
2135,Струга,415111,Брчево,с,
2135,Струга,415120,Буринец,с,
2135,Струга,415146,Велешта,с,
2135,Струга,415154,Вишни,с,
2135,Струга,415162,Враниште,с,
2135,Струга,415189,Глобочица,с,
2135,Струга,415197,Горна Белица,с,
2135,Струга,415219,Горно Татеши,с,
2135,Струга,415227,Делогожди,с,
2135,Струга,415235,Добовјани,с,
2135,Струга,415243,Долна Белица,с,
2135,Струга,415251,Долно Татеши,с,
2135,Струга,415260,Драслајца,с,
2135,Струга,415278,Дренок,с,
2135,Струга,415286,Заграчани,с,
2135,Струга,415294,Збажди,с,
2135,Струга,415308,Јабланица,с,
2135,Струга,415316,Калишта,с,
2135,Струга,415324,Корошишта,с,
2135,Струга,415332,Лабуништа,с,
2135,Струга,415359,Лакаица,с,
2135,Струга,415367,Ливада,с,
2135,Струга,415375,Ложани,с,
2135,Струга,415383,Локов,с,
2135,Струга,415391,Луково,с,
2135,Струга,415405,Мали Влај,с,
2135,Струга,415413,Мислешево,с,
2135,Струга,415421,Мислодежда,с,
2135,Струга,415430,Модрич,с,
2135,Струга,415448,Мороишта,с,
2135,Струга,415456,Нерези,с,
2135,Струга,415464,Ново Село,с,
2135,Струга,415472,Октиси,с,
2135,Струга,415499,Пискупштина,с,
2135,Струга,415502,Подгорци,с,
2135,Струга,415529,Поум,с,
2135,Струга,415537,Присовјани,с,
2135,Струга,415545,Р’жаново,с,
2135,Струга,415553,Радожда,с,
2135,Струга,415561,Радолишта,с,
2135,Струга,415570,Селци,с,
2135,Струга,415588,Струга,г,
2135,Струга,415596,Ташмаруништа,с,
2135,Струга,415600,Тоска,с,
2135,Струга,415618,Франгово,с,
2135,Струга,415626,Џепин,с,
2135,Струга,415634,Шум,с,
2143,Струмица,415685,Баница,с,
2143,Струмица,415693,Банско,с,
2143,Струмица,415715,Белотино,с,
2143,Струмица,415774,Вељуса,с,
2143,Струмица,415812,Водоча,с,
2143,Струмица,415839,Габрово,с,
2143,Струмица,415863,Градско Балдовци,с,
2143,Струмица,415871,Дабиље,с,
2143,Струмица,415880,Добрејци,с,
2143,Струмица,415901,Дорломбос,с,
2143,Струмица,415979,Злешево,с,
2143,Струмица,416029,Костурино,с,
2143,Струмица,416037,Куклиш,с,
2143,Струмица,416053,Мемешли,с,
2143,Струмица,416096,Муртино,с,
2143,Струмица,416142,Орманли,с,
2143,Струмица,416185,Попчево,с,
2143,Струмица,416193,Просениково,с,
2143,Струмица,416207,Раборци,с,
2143,Струмица,416231,Рич,с,
2143,Струмица,416274,Сачево,с,
2143,Струмица,416282,Свидовица,с,
2143,Струмица,416371,Струмица,г,
2143,Струмица,416410,Три Води,с,
2143,Струмица,416452,Чепели,с,
2151,Студеничани,414387,Алдинци,с,
2151,Студеничани,414409,Батинци,с,
2151,Студеничани,414425,Вртекица,с,
2151,Студеничани,414441,Горно Количани,с,
2151,Студеничани,414514,Долно Количани,с,
2151,Студеничани,414549,Драчевица,с,
2151,Студеничани,414565,Елово,с,
2151,Студеничани,414590,Калдирец,с,
2151,Студеничани,414603,Малчиште,с,
2151,Студеничани,414611,Маркова Сушица,с,
2151,Студеничани,414620,Морани,с,
2151,Студеничани,414662,Осинчани,с,
2151,Студеничани,414689,Пагаруша,с,
2151,Студеничани,414743,Рамни Габер,с,
2151,Студеничани,414808,Студеничани,с,
2151,Студеничани,414832,Умово,с,
2151,Студеничани,414867,Цветово,с,
2151,Студеничани,414875,Црвена Вода,с,
2151,Студеничани,414883,Црн Врв,с,
2160,Теарце,416533,Брезно,с,
2160,Теарце,416550,Варвара,с,
2160,Теарце,416614,Глоѓи,с,
2160,Теарце,416703,Доброште,с,
2160,Теарце,416851,Јелошник,с,
2160,Теарце,416916,Лешок,с,
2160,Теарце,416983,Непроштено,с,
2160,Теарце,416991,Нераште,с,
2160,Теарце,417033,Одри,с,
2160,Теарце,417114,Првце,с,
2160,Теарце,417149,Пршовце,с,
2160,Теарце,417297,Слатино,с,
2160,Теарце,417343,Теарце,с,
2178,Тетово,416517,Бозовце,с,
2178,Тетово,416541,Бродец,с,
2178,Тетово,416568,Вејце,с,
2178,Тетово,416576,Вешала,с,
2178,Тетово,416606,Гајре,с,
2178,Тетово,416622,Голема Речица,с,
2178,Тетово,416746,Ѓермо,с,
2178,Тетово,416835,Једоарце,с,
2178,Тетово,416894,Лавце,с,
2178,Тетово,416924,Лисец,с,
2178,Тетово,416959,Мала Речица,с,
2178,Тетово,417068,Отуње,с,
2178,Тетово,417106,Порој,с,
2178,Тетово,417211,Сараќино,с,
2178,Тетово,417238,Селце,с,
2178,Тетово,417254,Сетоле,с,
2178,Тетово,417360,Тетово,г,
2178,Тетово,417408,Фалиш,с,
2178,Тетово,417459,Џепчиште,с,
2178,Тетово,417475,Шипковица,с,
2208,Центар Жупа,404063,Бајрамовци,с,
2208,Центар Жупа,404071,Баланци,с,
2208,Центар Жупа,404101,Брештани,с,
2208,Центар Жупа,404110,Броштица,с,
2208,Центар Жупа,404128,Власиќи,с,
2208,Центар Жупа,404144,Голем Папрадник,с,
2208,Центар Жупа,404152,Горенци,с,
2208,Центар Жупа,404187,Горно Мелничани,с,
2208,Центар Жупа,404209,Долгаш,с,
2208,Центар Жупа,404225,Долно Мелничани,с,
2208,Центар Жупа,404233,Евла,с,
2208,Центар Жупа,404241,Елевци,с,
2208,Центар Жупа,404250,Житинени,с,
2208,Центар Жупа,404276,Кочишта,с,
2208,Центар Жупа,404284,Коџаџик,с,
2208,Центар Жупа,404306,Мал Папрадник,с,
2208,Центар Жупа,404322,Новак,с,
2208,Центар Жупа,404357,Осолница,с,
2208,Центар Жупа,404373,Оџовци,с,
2208,Центар Жупа,404381,Пареши,с,
2208,Центар Жупа,404390,Праленик,с,
2208,Центар Жупа,419273,Центар Жупа,с,
2208,Центар Жупа,404462,Црно Боци,с,
2216,Чашка,417491,Бањица,с,
2216,Чашка,417521,Бистрица,с,
2216,Чашка,417530,Богомила,с,
2216,Чашка,417556,Бусилци,с,
2216,Чашка,417599,Витанци,с,
2216,Чашка,417602,Владиловци,с,
2216,Чашка,417637,Војница,с,
2216,Чашка,417645,Габровник,с,
2216,Чашка,417653,Голозинци,с,
2216,Чашка,417661,Горно Врановци,с,
2216,Чашка,417670,Горно Јаболчиште,с,
2216,Чашка,417742,Долно Врановци,с,
2216,Чашка,417769,Долно Јаболчиште,с,
2216,Чашка,417807,Дреново,с,
2216,Чашка,417815,Еловец,с,
2216,Чашка,417840,Извор,с,
2216,Чашка,417858,Капиново,с,
2216,Чашка,417904,Крајници,с,
2216,Чашка,417912,Крива Круша,с,
2216,Чашка,417939,Крнино,с,
2216,Чашка,417971,Лисиче,с,
2216,Чашка,418005,Мартолци,с,
2216,Чашка,418013,Мелница,с,
2216,Чашка,418021,Мокрени,с,
2216,Чашка,418030,Нежилово,с,
2216,Чашка,418064,Ново Село,с,
2216,Чашка,418099,Оморани,с,
2216,Чашка,418102,Ораов Дол,с,
2216,Чашка,418137,Ореше,с,
2216,Чашка,418145,Отиштино,с,
2216,Чашка,418161,Папрадиште,с,
2216,Чашка,418170,Плевење,с,
2216,Чашка,418196,Поменово,с,
2216,Чашка,418200,Попадија,с,
2216,Чашка,418226,Раковец,с,
2216,Чашка,418315,Смиловци,с,
2216,Чашка,418323,Согле,с,
2216,Чашка,418358,Стари Град,с,
2216,Чашка,418366,Степанци,с,
2216,Чашка,418374,Теово,с,
2216,Чашка,418439,Црешнево,с,
2216,Чашка,418463,Чашка,с,
2232,Чешиново - Облешево,406686,Бања,с,
2232,Чешиново - Облешево,406716,Бурилчево,с,
2232,Чешиново - Облешево,406759,Врбица,с,
2232,Чешиново - Облешево,406821,Жиганце,с,
2232,Чешиново - Облешево,406872,Кучичино,с,
2232,Чешиново - Облешево,406899,Лепопелци,с,
2232,Чешиново - Облешево,406961,Ново Селани,с,
2232,Чешиново - Облешево,406988,Облешево,с,
2232,Чешиново - Облешево,407097,Соколарци,с,
2232,Чешиново - Облешево,407119,Спанчево,с,
2232,Чешиново - Облешево,407127,Теранци,с,
2232,Чешиново - Облешево,407143,Уларци,с,
2232,Чешиново - Облешево,407178,Чешиново,с,
2232,Чешиново - Облешево,407186,Чифлик,с,
2259,Чучер - Сандево,414905,Бањане,с,
2259,Чучер - Сандево,414913,Блаце,с,
2259,Чучер - Сандево,414921,Бразда,с,
2259,Чучер - Сандево,414930,Брест,с,
2259,Чучер - Сандево,414948,Бродец,с,
2259,Чучер - Сандево,414956,Глуво,с,
2259,Чучер - Сандево,414964,Горњане,с,
2259,Чучер - Сандево,414972,Кучевиште,с,
2259,Чучер - Сандево,415014,Мирковци,с,
2259,Чучер - Сандево,415022,Побожје,с,
2259,Чучер - Сандево,415057,Танушевци,с,
2259,Чучер - Сандево,415065,Чучер - Сандево,с,
2283,Штип,418498,Балталија,с,
2283,Штип,418510,Брест,с,
2283,Штип,418528,Врсаково,с,
2283,Штип,418552,Горачино,с,
2283,Штип,418595,Доброшани,с,
2283,Штип,418609,Долани,с,
2283,Штип,418633,Драгоево,с,
2283,Штип,418650,Едеклерци,с,
2283,Штип,418668,Јамуларци,с,
2283,Штип,418684,Калапетровци,с,
2283,Штип,418749,Кошево,с,
2283,Штип,418757,Криви Дол,с,
2283,Штип,418803,Лакавица,с,
2283,Штип,418811,Лесковица,с,
2283,Штип,418820,Липов Дол,с,
2283,Штип,418838,Љуботен,с,
2283,Штип,418889,Никоман,с,
2283,Штип,418919,Ново Село,с,
2283,Штип,418935,Пенуш,с,
2283,Штип,418943,Пиперово,с,
2283,Штип,418951,Почивало,с,
2283,Штип,418986,Пухче,с,
2283,Штип,419010,Сарчиево,с,
2283,Штип,419028,Селце,с,
2283,Штип,419036,Скандалци,с,
2283,Штип,419044,Софилари,с,
2283,Штип,419052,Стар Караорман,с,
2283,Штип,419079,Степанци,с,
2283,Штип,419087,Суво Грло,с,
2283,Штип,419095,Судиќ,с,
2283,Штип,419109,Сушево,с,
2283,Штип,419117,Танатарци,с,
2283,Штип,419133,Тестемелци,с,
2283,Штип,419141,Топлиќ,с,
2283,Штип,419150,Три Чешми,с,
2283,Штип,419168,Хаџи-реџепли,с,
2283,Штип,419176,Хаџи-сејдели,с,
2283,Штип,419184,Хаџи-хамзали,с,
2283,Штип,419206,Црешка,с,
2283,Штип,419214,Чардаклија,с,
2283,Штип,419222,Чифлик,с,
2283,Штип,419249,Шашаварлија,с,
2283,Штип,419257,Шопур,с,
2283,Штип,419265,Штип,г,
,,,,,
"* Градот Скопје е посебна единица на локалната самоуправа и го покрива подрачјето на општините: Аеродром, Бутел, Гази баба, Ѓорче Петров, Карпош, Кисела Вода, Сарај, Центар, Чаир и Шуто Оризари",,,,,
